QtrYear,Qtr,County,JMS,Capacity,Beds,Deaths,Bookings,Releases,Measure,Total,Male,Female,Other Gender,Black,Native American,Other Race,White,Unknown Race,Non-Hispanic,Hispanic,Unknown Ethnicity,Not Available
2020,1,Clear Creek,E-Force,105,105,0,253,183,Number of inmates,70,62,8,0,10,0,0,58,2,43,20,7,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Sentenced,2,2,0,0,1,0,0,1,0,2,0,0,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Unsentenced - Hold,4,4,0,0,1,0,0,2,1,2,2,0,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Unsentenced - No Hold,64,56,8,0,8,0,0,55,1,39,18,7,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Unsentenced - No Hold Felonies,53,46,7,0,8,0,0,44,1,31,16,6,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Unsentenced - No Hold Misdemeanors,11,10,1,0,0,0,0,11,0,8,2,1,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Municipal Charge,3,2,1,0,1,0,0,2,0,2,1,0,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Administrative Segregation,5,5,0,0,2,0,0,3,0,5,0,0,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Competency Evaluation,2,2,0,0,0,0,0,2,0,2,0,0,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Average Daily Population,92,78,14,0,12,0.6,0.04,76,0.3,56,30,6,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Average LOS Felonies,211,118,93,0,19,0,0,0,0,178,227,46,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Felony Releases,240,194,46,0,23,4,0,205,8,161,56,23,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Average LOS Misdemeanors,213,85,128,0,26,0,4,13,15,16,6,10,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Misdemeanor Releases,595,480,115,0,27,0,4,564,0,413,97,85,
2020,1,Clear Creek,E-Force,105,105,0,253,183,Homeless,0,0,0,0,0,0,0,0,0,0,0,0,Unable to track
2020,1,Park,Jail Tracker,255,200,0,199,191,Number of inmates,42,38,4,0,5,0,2,35,0,35,7,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Sentenced,12,11,1,0,1,0,0,11,0,12,0,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Unsentenced - Hold,22,22,0,0,4,0,0,18,0,15,7,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Unsentenced - No Hold,8,5,3,0,0,0,2,6,0,8,0,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Unsentenced - No Hold Felonies,6,3,3,0,0,0,2,4,0,6,0,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Unsentenced - No Hold Misdemeanors,2,2,0,0,0,0,0,2,0,2,0,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Municipal Charge,0,0,0,0,0,0,0,0,0,0,0,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Administrative Segregation,2,1,1,0,0,0,0,2,0,2,0,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Competency Evaluation,1,1,0,0,0,0,0,1,0,1,0,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Average Daily Population,40.9,32,9,0,2,0.5,10,28,0,31,10,0,
2020,1,Park,Jail Tracker,255,200,0,199,191,Average LOS Felonies,28,40,15,0,0,0,0,0,0,0,0,0,The rest of these fields are not tracked fields with our JMS.
2020,1,Park,Jail Tracker,255,200,0,199,191,Felony Releases,0,0,0,0,0,0,0,0,0,0,0,0,This data is not tracked data with our JMS
2020,1,Park,Jail Tracker,255,200,0,199,191,Average LOS Misdemeanors,19,19,19,0,0,0,0,0,0,0,0,0,The rest of these fields are not tracked fields with our JMS.
2020,1,Park,Jail Tracker,255,200,0,199,191,Misdemeanor Releases,0,0,0,0,0,0,0,0,0,0,0,0,Our JMS does not separate felony vs misdemeanor releases.
2020,1,Park,Jail Tracker,255,200,0,199,191,Homeless,1,1,0,0,0,0,0,1,0,1,0,0,
2020,1,Eagle,Intergraph,112,112,0,366,377,Number of inmates,52,44,8,0,1,0,0,51,0,31,21,0,
2020,1,Eagle,Intergraph,112,112,0,366,377,Sentenced,14,10,4,0,0,0,0,14,0,8,6,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Unsentenced - Hold,6,5,1,0,0,0,0,6,0,2,4,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Unsentenced - No Hold,32,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Unsentenced - No Hold Felonies,0,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Unsentenced - No Hold Misdemeanors,0,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Municipal Charge,0,0,0,0,0,0,0,0,0,0,0,0,
2020,1,Eagle,Intergraph,112,112,0,366,377,Administrative Segregation,2,2,0,0,0,0,0,2,0,0,0,2,
2020,1,Eagle,Intergraph,112,112,0,366,377,Competency Evaluation,0,0,0,0,0,0,0,0,0,0,0,0,
2020,1,Eagle,Intergraph,112,112,0,366,377,Average Daily Population,58,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Average LOS Felonies,0,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Felony Releases,0,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Average LOS Misdemeanors,0,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Misdemeanor Releases,0,0,0,0,0,0,0,0,0,0,0,0,"The Eagle County Sheriff's Office made every effort to comply with this request for information regarding jail data.  Unfortunately, the jail management system currently used does not collect the data that is being requested.  In our good faith effort to comply with this House Bill, we will continue to explore the capabilities of our systems.  The Eagle County Jail will be exploring its current reporting capabilities, and limitations, as well as potential solutions to the issue to include the funding for any potential solutions in the coming months."
2020,1,Eagle,Intergraph,112,112,0,366,377,Homeless,0,0,0,0,0,0,0,0,0,0,0,0,
2020,1,El Paso,Beacon JMS v9.2.39,1837,1837,1,5161,5356,Number of inmates,1519,1211,308,0,315,20,12,1166,6,1074,360,85,
2020,1,El Paso,Beacon JMS v9.2.39,1837,1837,1,5161,5356,Sentenced,385,286,99,0,72,6,3,301,3,278,93,14,
2020,1,El Paso,Beacon JMS v9.2.39,1837,1837,1,5161,5356,Unsentenced - Hold,734,603,131,0,157,7,5,563,2,511,172,51,
2020,1,El Paso,Beacon JMS v9.2.39,1837,1837,1,5161,5356,Unsentenced - No Hold,400,322,78,0,86,7,4,302,1,285,95,20,
2020,1,El Paso,Beacon JMS v9.2.39,1837,1837,1,5161,5356,Unsentenced - No Hold Felonies,349,276,73,0,75,5,4,264,1,249,83,17,
2020,1,El Paso,Beacon JMS v9.2.39,1837,1837,1,5161,5356,Unsentenced - No Hold Misdemeanors,47,42,5,0,10,1,0,36,0,33,12,2,
